roi_uid,label,notes,sample,group_id,roi_index,object,split,image_path,gallery_overlay_path,combined_overlay_path,roi_crop_path,x_min,y_min,x_max,y_max,sam_predicted_iou,sam_mask_area_px,selected_patch_count,selected_patch_fraction,region_max_score,region_mass,primary_peak_score
good_test/2026_03_11-09_23_27-388.png__roi_000,,,good_test/2026_03_11-09_23_27-388.png,good_test/2026_03_11-09_23_27-388.png,0,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_23_27-388.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_23_27-388.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_23_27-388\combined_overlay.png,,440,203,508,271,0.7296725511550903,2507,4,0.0016611295681063123,0.06936666369438171,0.07200244069099426,0.06936666369438171
good_test/2026_03_11-09_23_27-388.png__roi_001,,,good_test/2026_03_11-09_23_27-388.png,good_test/2026_03_11-09_23_27-388.png,1,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_23_27-388.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_23_27-388.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_23_27-388\combined_overlay.png,,576,102,644,237,0.6203088760375977,6502,10,0.004152823920265781,0.06034129858016968,0.1690017282962799,0.06034129858016968
good_test/2026_03_11-09_29_27-472.png__roi_000,,,good_test/2026_03_11-09_29_27-472.png,good_test/2026_03_11-09_29_27-472.png,0,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_29_27-472\combined_overlay.png,,644,576,677,609,0.759618878364563,671,1,0.0004152823920265781,0.10079041123390198,0.07965904474258423,0.10079041123390198
good_test/2026_03_11-09_29_27-472.png__roi_001,,,good_test/2026_03_11-09_29_27-472.png,good_test/2026_03_11-09_29_27-472.png,1,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_29_27-472\combined_overlay.png,,542,271,576,339,0.8120263814926147,985,2,0.0008305647840531562,0.08256295323371887,0.11463719606399536,0.08256295323371887
good_test/2026_03_11-09_29_27-472.png__roi_002,,,good_test/2026_03_11-09_29_27-472.png,good_test/2026_03_11-09_29_27-472.png,2,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_29_27-472\combined_overlay.png,,915,609,948,643,0.7708922624588013,615,1,0.0004152823920265781,0.08233410120010376,0.057751744985580444,0.08233410120010376
good_test/2026_03_11-09_29_27-472.png__roi_003,,,good_test/2026_03_11-09_29_27-472.png,good_test/2026_03_11-09_29_27-472.png,3,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_29_27-472\combined_overlay.png,,406,711,1558,1253,0.8904632329940796,114467,158,0.06561461794019934,0.06802862882614136,1.4600178599357605,0.06802862882614136
good_test/2026_03_11-09_29_27-472.png__roi_004,,,good_test/2026_03_11-09_29_27-472.png,good_test/2026_03_11-09_29_27-472.png,4,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_11-09_29_27-472.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_11-09_29_27-472\combined_overlay.png,,203,779,271,847,0.6650254726409912,3325,8,0.0033222591362126247,0.06420636177062988,0.09076955914497375,0.06420636177062988
good_test/2026_03_19-08_20_28-873.png__roi_000,,,good_test/2026_03_19-08_20_28-873.png,good_test/2026_03_19-08_20_28-873.png,0,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-08_20_28-873.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_19-08_20_28-873.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_19-08_20_28-873\combined_overlay.png,,1490,982,1524,1016,0.6376065015792847,621,2,0.0008305647840531562,0.07829239964485168,0.07116129994392395,0.07829239964485168
good_test/2026_03_19-08_20_41-797.png__roi_000,,,good_test/2026_03_19-08_20_41-797.png,good_test/2026_03_19-08_20_41-797.png,0,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-08_20_41-797.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_19-08_20_41-797.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_19-08_20_41-797\combined_overlay.png,,1355,102,1389,169,0.8076023459434509,755,2,0.0008305647840531562,0.06483426690101624,0.11091586947441101,0.06483426690101624
good_test/2026_03_19-09_02_47-896.png__roi_000,,,good_test/2026_03_19-09_02_47-896.png,good_test/2026_03_19-09_02_47-896.png,0,normalmap,custom_eval,C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_02_47-896.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\combined_overlay_gallery_flat\good_test\2026_03_19-09_02_47-896.png,C:\ai\AnomalyDINO\results_CUSTOM\dinov3_vitb16_688\8-shot_preprocess=force_no_mask_no_rotation_bestsearch8_fast20greedy_maxanomap_res688_evaltrain_20260413\hq_sam_outputs_batch\roi_crops_peak_hysteresis_h0.5_l0.2_merge3bridge0.1_seed=0_sam_hq_vit_tiny\good_test\2026_03_19-09_02_47-896\combined_overlay.png,,339,135,373,169,0.874764084815979,320,1,0.0004152823920265781,0.0845227837562561,0.08042165637016296,0.0845227837562561
