bildname;roi_nummer;label
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_23_27-388.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_23_27-388.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_11-09_29_27-472.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-08_20_28-873.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-08_20_41-797.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_02_47-896.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_03_43-007.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_06_49-517.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_07_44-151.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_08_23-792.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_08_23-792.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\good\2026_03_19-09_08_23-792.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_24_35-638.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_26_10-588.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_27_25-786.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_28_00-244.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_28_13-871.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_28_21-442.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_28_41-132.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_28_41-132.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_28_55-003.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-08_59_06-584.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-09_06_28-862.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-09_06_28-862.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-09_08_03-930.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_35_34-501.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_35_34-501.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_37_08-701.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_37_08-701.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_39_09-591.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_39_09-591.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_39_57-236.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_39_57-236.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_40_23-751.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_40_23-751.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_40_57-461.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_41_30-475.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_41_30-475.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_41_30-475.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_42_20-596.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_42_20-596.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_42_27-170.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_42_41-197.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_42_41-197.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_19-11_42_41-197.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_05_55-997.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_07_03-508.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_07_03-508.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_07_03-508.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_08_33-850.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_08_33-850.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_08_33-850.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_08_41-093.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_10_08-963.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_16-964.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_16-964.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_23-369.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_23-369.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_23-369.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_36-272.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_36-272.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_36-272.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_11_36-272.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_12_03-437.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_12_03-437.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_04-765.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_04-765.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_11-500.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_11-500.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_38-595.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_58-838.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_58-838.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_13_58-838.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_14_20-504.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_14_20-504.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_14_27-555.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_14_43-099.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_39_31-818.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_40_00-079.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_41_46-415.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_44_17-714.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\train\good\2026_03_20-00_44_17-714.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi6;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi7;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi8;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi9;
