rank,feature_index,mutual_information
1,1691,0.21435846
2,8417,0.16901827
3,3723,0.15513869
4,11034,0.14803669
5,20235,0.109945044
6,1622,0.13075489
7,8607,0.12649547
8,18317,0.15217365
9,4548,0.151479
10,6027,0.21229304
11,25549,0.111707404
12,5927,0.18181476
13,1710,0.13279039
14,11990,0.15587103
15,25426,0.17294449
16,6346,0.12547162
17,4039,0.11001954
18,8867,0.12848172
19,18193,0.15944731
20,14978,0.1675424
21,6546,0.10584776
22,4004,0.114481084
23,8461,0.19228767
24,18728,0.14856063
25,4124,0.15053979
26,13526,0.16823147
27,26987,0.1150018
28,2053,0.12549506
29,2265,0.14830308
30,5089,0.17647064
31,21708,0.14449754
32,6250,0.13180223
33,11155,0.16542715
34,11574,0.13974693
35,2102,0.122434735
36,15691,0.13424136
37,2805,0.16725998
38,21445,0.18254441
39,22570,0.12607816
40,4025,0.10770989
41,2196,0.091287024
42,16445,0.16202559
43,6849,0.19989012
44,6189,0.13646016
45,1830,0.09505218
46,11787,0.13864787
47,27119,0.15650444
48,8746,0.15073296
49,13737,0.119298205
50,22877,0.12611343
51,9503,0.1383305
52,21986,0.17804314
53,1875,0.09417839
54,18023,0.11383755
55,15271,0.19040966
56,13238,0.09693365
57,22678,0.10724079
58,290,0.16381502
59,7469,0.20421311
60,4237,0.10712805
61,25367,0.11849324
62,13163,0.14979696
63,2241,0.113576
64,20170,0.10370591
65,6383,0.10110838
66,17975,0.110790186
67,1649,0.1718872
68,15988,0.121370815
69,17651,0.1717153
70,4277,0.10910355
71,16449,0.14432123
72,24875,0.15977336
73,9035,0.09438742
74,4267,0.11672717
75,21651,0.11702124
76,1635,0.11412037
77,1881,0.10068871
78,13329,0.10503156
79,24976,0.16372712
80,16081,0.11017453
81,3089,0.1361628
82,15942,0.14720972
83,11405,0.10574456
84,13637,0.13942617
85,14690,0.117980234
86,8471,0.108320944
87,11214,0.099262185
88,6795,0.18160832
89,4433,0.092613064
90,8237,0.19289495
91,1759,0.09078929
92,25079,0.11310546
93,20012,0.11036694
94,3091,0.16486637
95,12219,0.089542255
96,24982,0.10440773
97,4299,0.09710321
98,1700,0.10524816
99,9913,0.1525865
100,6713,0.13494906
101,11403,0.13495077
102,26143,0.11816869
103,26865,0.15266968
104,10927,0.17469282
105,14468,0.13316624
106,2064,0.07676999
107,24869,0.09988832
108,3848,0.105009906
109,15821,0.113655135
110,7674,0.120500155
111,15786,0.12913983
112,17576,0.11888693
113,11044,0.14766826
114,10778,0.10183256
115,4304,0.07925087
116,923,0.14273602
117,8552,0.13133669
118,2161,0.10699351
119,4185,0.08529532
120,4338,0.09365222
121,26533,0.12508969
122,6191,0.1564672
123,22349,0.12347568
124,15593,0.09741574
125,2220,0.082495846
126,20106,0.10994808
127,12908,0.1451667
128,17985,0.14243993
129,13642,0.13102774
130,4187,0.09751414
131,15097,0.17545551
132,6391,0.08532065
133,2035,0.083434686
134,12783,0.1270558
135,1732,0.086334705
136,5313,0.1637924
137,25170,0.1019437
138,25008,0.086147964
139,2279,0.08776716
140,5335,0.1709161
141,24797,0.13729039
142,26321,0.092925794
143,5945,0.13810071
144,1708,0.08735584
145,17382,0.1173206
146,15824,0.08541424
147,7001,0.1451259
148,6217,0.15488032
149,1609,0.08229754
150,11158,0.10211706
151,3832,0.14178166
152,13091,0.12025842
153,1953,0.079408586
154,10932,0.1044772
155,15941,0.16758603
156,6176,0.09800972
157,1895,0.09254087
158,6871,0.16776893
159,13095,0.120307714
160,2306,0.1376986
161,17401,0.16157618
162,20264,0.1002892
163,4284,0.085062064
164,20386,0.09231693
165,9105,0.092567205
166,1826,0.116098166
167,22364,0.10257539
168,3709,0.1268098
169,14784,0.13379517
170,3993,0.082181506
171,15743,0.14929286
