Object,Sample,Anomaly_Score,MemoryBank_Time,Inference_Time,Label,Evaluation_Group,Threshold
normalmap,good_train_remaining/2026_03_19-08_24_02-549.png,0.02900,3.41756,0.78549,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_24_35-638.png,0.09223,3.41756,0.74192,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_24_49-086.png,0.03962,3.41756,0.73248,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_25_02-904.png,0.03550,3.41756,0.77216,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_25_23-284.png,0.04807,3.41756,0.69620,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_25_29-884.png,0.03559,3.41756,0.75059,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_25_50-659.png,0.05266,3.41756,0.77501,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_25_57-286.png,0.04767,3.41756,0.80034,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_26_10-588.png,0.06590,3.41756,0.78960,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_26_17-379.png,0.04420,3.41756,0.80734,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_26_30-471.png,0.04630,3.41756,0.80685,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_26_51-284.png,0.04968,3.41756,0.85644,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_26_58-398.png,0.03679,3.41756,0.76656,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_27_25-786.png,0.08888,3.41756,0.68681,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_27_32-383.png,0.03883,3.41756,0.74155,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_27_39-131.png,0.05296,3.41756,0.78543,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_27_45-797.png,0.05254,3.41756,0.79085,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_28_00-244.png,0.06494,3.41756,0.84013,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_28_13-871.png,0.06179,3.41756,0.78493,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_28_21-442.png,0.08814,3.41756,0.97380,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_28_28-083.png,0.04343,3.41756,0.84763,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_28_41-132.png,0.07068,3.41756,0.75539,0,good_train_remaining,0.05690
normalmap,good_train_remaining/2026_03_19-08_28_55-003.png,0.06582,3.41756,0.84830,0,good_train_remaining,0.05690
