prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
1,1691,rejected,27,0.27,0.0005670778722436359,0.0023303103722331934,0.21435846388339996,1,mean,155
2,8417,confirmed,96,0.96,0.004461470926212131,0.010812999656423758,0.16901826858520508,4,min,737
3,3723,confirmed,95,0.95,0.003553008742905038,0.009474053126583342,0.15513868629932404,2,min,651
4,11034,rejected,16,0.16,0.0003550163873263946,0.0015448681894483995,0.14803668856620789,5,mean,282
5,20235,rejected,30,0.3,0.0006357267270958917,0.0021132634587243664,0.10994504392147064,9,mean,267
6,1622,rejected,7,0.07,0.00025656777836054184,0.0018706314967969018,0.13075488805770874,1,mean,86
7,8607,rejected,14,0.14,0.0004407114131776245,0.0015486181684286878,0.12649546563625336,4,mean,159
8,18317,rejected,33,0.33,0.0007571625995225506,0.002653872969176009,0.15217365324497223,8,mean,653
9,4548,rejected,11,0.11,0.00041003747227791494,0.0016409036335369182,0.15147900581359863,2,mean,708
10,6027,confirmed,100,1.0,0.011062535493918724,0.022573527360145652,0.21229304373264313,3,min,651
11,25549,rejected,12,0.12,0.0004108541374967178,0.001623906515391905,0.111707404255867,12,max,205
12,5927,rejected,32,0.32,0.0007191945802497935,0.0029309510315156354,0.1818147599697113,3,min,551
13,1710,rejected,6,0.06,0.00028661571108650136,0.0016034845856317016,0.13279038667678833,1,mean,174
14,11990,confirmed,71,0.71,0.0019448315820013303,0.006305734914521056,0.15587103366851807,6,max,470
15,25426,rejected,0,0.0,0.00015462881416551525,0.0008642087144952982,0.17294448614120483,12,max,82
16,6346,rejected,3,0.03,0.00031034744423957746,0.0010709008881686177,0.12547162175178528,3,mean,202
17,4039,rejected,22,0.22,0.00046946103638542463,0.0022769111609239907,0.11001954227685928,2,mean,199
18,8867,rejected,6,0.06,0.00032665623429702453,0.00124100794987467,0.12848171591758728,4,mean,419
19,18193,confirmed,91,0.91,0.0031172554453774894,0.007279589621299222,0.1594473123550415,8,mean,529
20,14978,confirmed,72,0.72,0.0015430143969370758,0.00519871944403213,0.16754239797592163,7,min,386
21,6546,rejected,2,0.02,0.00020607360703027512,0.0010495974180984749,0.10584776103496552,3,mean,402
22,4004,tentative,39,0.39,0.000821692750418506,0.0033565432014742366,0.11448108404874802,2,mean,164
23,8461,confirmed,97,0.97,0.0046444904613760565,0.011108149017976326,0.19228766858577728,4,mean,13
24,18728,rejected,4,0.04,0.00024031531889253996,0.0013197986359981743,0.14856062829494476,9,max,296
