rank,feature_index,dinov3_layer,aggregation,channel,mutual_information
1,15173,7,min,581,0.19186775386333466
2,24663,11,mean,87,0.179603710770607
3,2293,1,mean,757,0.14333197474479675
4,20516,9,mean,548,0.14246684312820435
5,787,1,min,19,0.1508644074201584
6,1554,1,mean,18,0.14172282814979553
7,14727,7,min,135,0.17414139211177826
8,6687,3,mean,543,0.17497336864471436
9,22602,10,mean,330,0.11607010662555695
10,15912,7,mean,552,0.18268516659736633
11,8684,4,mean,236,0.1396278589963913
12,25534,12,max,190,0.13034862279891968
13,4350,2,mean,510,0.14582429826259613
14,24626,11,mean,50,0.15086737275123596
15,19895,9,min,695,0.14115914702415466
16,20485,9,mean,517,0.14792877435684204
17,1569,1,mean,33,0.10211197286844254
18,6147,3,mean,3,0.16779936850070953
19,20642,9,mean,674,0.1282079517841339
20,2240,1,mean,704,0.1114962100982666
21,22476,10,mean,204,0.1441023200750351
22,27190,12,mean,310,0.13361157476902008
23,11174,5,mean,422,0.14379195868968964
24,20297,9,mean,329,0.12987221777439117
25,20962,10,max,226,0.14496982097625732
26,18251,8,mean,587,0.14318490028381348
27,4276,2,mean,436,0.10329566150903702
28,677,1,max,677,0.12764239311218262
29,1548,1,mean,12,0.1504891812801361
30,11035,5,mean,283,0.16615784168243408
31,5919,3,min,543,0.16165129840373993
32,8769,4,mean,321,0.10664208233356476
33,1838,1,mean,302,0.09713342040777206
34,24761,11,mean,185,0.13916198909282684
35,6269,3,mean,125,0.09963575750589371
36,15724,7,mean,364,0.14732864499092102
37,20002,9,mean,34,0.09503187984228134
38,4292,2,mean,452,0.10998011380434036
39,13152,6,mean,96,0.12825527787208557
40,2184,1,mean,648,0.0847410261631012
41,20707,9,mean,739,0.14836938679218292
42,271,1,max,271,0.12954381108283997
43,15787,7,mean,427,0.12651099264621735
44,20332,9,mean,364,0.1349942833185196
45,1953,1,mean,417,0.0893496423959732
46,13960,7,max,136,0.13592968881130219
47,26985,12,mean,105,0.1158486008644104
48,26934,12,mean,54,0.10602587461471558
49,18235,8,mean,571,0.13074921071529388
50,6288,3,mean,144,0.1058911457657814
51,22457,10,mean,185,0.13416798412799835
52,6587,3,mean,443,0.09778937697410583
53,4090,2,mean,250,0.14404727518558502
54,3873,2,mean,33,0.09425050765275955
55,12258,6,max,738,0.13804565370082855
56,4030,2,mean,190,0.09134700894355774
57,3902,2,mean,62,0.1082737073302269
58,2229,1,mean,693,0.09262597560882568
59,6361,3,mean,217,0.1377914547920227
60,18409,8,mean,745,0.11942917108535767
61,21058,10,max,322,0.15123921632766724
62,6352,3,mean,208,0.11579737812280655
63,27164,12,mean,284,0.1068420559167862
64,15859,7,mean,499,0.1381424069404602
65,3918,2,mean,78,0.08956897258758545
66,25631,12,max,287,0.12630723416805267
67,8710,4,mean,262,0.10291904956102371
68,24681,11,mean,105,0.09782426804304123
69,4284,2,mean,444,0.09040676057338715
70,13302,6,mean,246,0.12886138260364532
71,9532,5,max,316,0.14273646473884583
72,17081,8,min,185,0.123710997402668
73,8569,4,mean,121,0.09938381612300873
74,6505,3,mean,361,0.09130585938692093
75,17708,8,mean,44,0.13958117365837097
76,22300,10,mean,28,0.12957778573036194
77,1603,1,mean,67,0.07484684139490128
78,13578,6,mean,522,0.10692181438207626
79,5151,3,max,543,0.1300235390663147
80,17727,8,mean,63,0.07899229228496552
81,10819,5,mean,67,0.10069270431995392
82,4374,2,mean,534,0.11040583997964859
83,11079,5,mean,327,0.1198456883430481
84,6258,3,mean,114,0.09617559611797333
85,24389,11,min,581,0.14499151706695557
86,10988,5,mean,236,0.10254336148500443
87,4778,3,max,170,0.1300075799226761
88,20624,9,mean,656,0.08601563423871994
89,27038,12,mean,158,0.13980728387832642
90,404,1,max,404,0.12549921870231628
91,4599,2,mean,759,0.09599406272172928
92,19982,9,mean,14,0.0973120927810669
93,27564,12,mean,684,0.11919479817152023
94,15720,7,mean,360,0.11916182935237885
95,25803,12,max,459,0.11660640686750412
96,1925,1,mean,389,0.08125723153352737
97,16094,7,mean,734,0.11279468983411789
98,8748,4,mean,300,0.08711329847574234
99,2137,1,mean,601,0.08240435272455215
100,13042,6,min,754,0.13797733187675476
101,15822,7,mean,462,0.12242203950881958
102,2246,1,mean,710,0.07629972696304321
103,6276,3,mean,132,0.0948256179690361
104,1575,1,mean,39,0.10027365386486053
105,7768,4,min,88,0.14707353711128235
106,18039,8,mean,375,0.09086627513170242
107,25219,11,mean,643,0.11350499093532562
108,22790,10,mean,518,0.1365123987197876
109,27557,12,mean,677,0.10224975645542145
110,6476,3,mean,332,0.10284987837076187
111,8551,4,mean,103,0.08674319088459015
112,3906,2,mean,66,0.0697815865278244
113,10970,5,mean,218,0.1064508780837059
114,16965,8,min,69,0.12069839239120483
115,20310,9,mean,342,0.07236461341381073
116,4041,2,mean,201,0.07908745855093002
117,13810,6,mean,754,0.12978540360927582
118,3988,2,mean,148,0.10064277052879333
119,9292,5,max,76,0.12462063133716583
120,24893,11,mean,317,0.10710342973470688
121,13460,6,mean,404,0.0917491540312767
122,15757,7,mean,397,0.10311809927225113
123,160,1,max,160,0.10630597919225693
124,24995,11,mean,419,0.08607711642980576
125,20490,9,mean,522,0.09709575027227402
126,20672,9,mean,704,0.10607164353132248
127,20012,9,mean,44,0.1031581461429596
128,13123,6,mean,67,0.1368478536605835
