layer_index,aggregation_component,count,percent
1,max,1,0.66
1,mean,2,1.32
1,min,1,0.66
2,max,4,2.63
2,mean,8,5.26
2,min,3,1.97
3,max,6,3.95
3,mean,15,9.87
3,min,5,3.29
4,max,4,2.63
4,mean,7,4.61
4,min,2,1.32
5,max,6,3.95
5,mean,7,4.61
5,min,2,1.32
6,max,3,1.97
6,mean,12,7.89
6,min,4,2.63
7,max,1,0.66
7,mean,9,5.92
7,min,4,2.63
8,max,4,2.63
8,mean,11,7.24
8,min,3,1.97
9,max,1,0.66
9,mean,5,3.29
9,min,1,0.66
10,max,2,1.32
10,mean,10,6.58
10,min,3,1.97
11,mean,2,1.32
11,min,1,0.66
12,max,1,0.66
12,mean,2,1.32
