prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
2,8417,confirmed,96,0.96,0.0044614709262121,0.0108129996564237,0.169018268585205,4,min,737
3,3723,confirmed,95,0.95,0.003553008742905,0.0094740531265833,0.155138686299324,2,min,651
10,6027,confirmed,100,1.0,0.0110625354939187,0.0225735273601456,0.2122930437326431,3,min,651
14,11990,confirmed,71,0.71,0.0019448315820013,0.006305734914521,0.155871033668518,6,max,470
19,18193,confirmed,91,0.91,0.0031172554453774,0.0072795896212992,0.1594473123550415,8,mean,529
20,14978,confirmed,72,0.72,0.001543014396937,0.0051987194440321,0.1675423979759216,7,min,386
23,8461,confirmed,97,0.97,0.004644490461376,0.0111081490179763,0.1922876685857772,4,mean,13
26,13526,confirmed,97,0.97,0.0028544283091607,0.0073578095363101,0.1682314723730087,6,mean,470
30,5089,confirmed,98,0.98,0.0046428814702194,0.0114548265039155,0.1764706373214721,3,max,481
33,11155,confirmed,69,0.69,0.001517755038405,0.0056760545893378,0.1654271483421325,5,mean,403
38,21445,confirmed,95,0.95,0.0027346496523025,0.0069851948618223,0.1825444102287292,10,max,709
43,6849,confirmed,100,1.0,0.0085056455197748,0.0178841575931662,0.1998901218175888,3,mean,705
47,27119,confirmed,94,0.94,0.0040079052659464,0.0109628120699817,0.1565044373273849,12,mean,239
52,21986,confirmed,100,1.0,0.0129351610347827,0.0266941031173108,0.1780431419610977,10,min,482
55,15271,confirmed,81,0.81,0.0025175574969259,0.0071834494010868,0.1904096603393554,7,min,679
59,7469,confirmed,83,0.83,0.0024385257269501,0.0074720292854126,0.2042131125926971,4,max,557
62,13163,confirmed,73,0.73,0.0015545225791681,0.0045671139853411,0.1497969627380371,6,mean,107
69,17651,confirmed,93,0.93,0.0035587275507049,0.0083082117793866,0.1717153042554855,8,min,755
88,6795,confirmed,100,1.0,0.0099340556075411,0.0202373437785819,0.1816083192825317,3,mean,651
90,8237,confirmed,64,0.64,0.0013980925578296,0.006763117215413,0.1928949505090713,4,min,557
99,9913,confirmed,88,0.88,0.0023489621106331,0.0062439377906333,0.1525865048170089,5,max,697
104,10927,confirmed,85,0.85,0.002532897316492,0.0061687892792647,0.1746928244829177,5,mean,175
110,7674,confirmed,78,0.78,0.0017868217256594,0.0053338225909297,0.1205001547932624,4,max,762
113,11044,confirmed,99,0.99,0.005524056333807,0.0130198204058893,0.14766825735569,5,mean,292
114,10778,confirmed,66,0.66,0.0011820604186615,0.0033626397536388,0.1018325611948967,5,mean,26
117,8552,confirmed,84,0.84,0.002339151869584,0.0073441513372136,0.1313366889953613,4,mean,104
122,6191,confirmed,100,1.0,0.0057008948156858,0.0116208281815159,0.1564671993255615,3,mean,47
131,15097,confirmed,99,0.99,0.0040020244592825,0.0099535453865885,0.1754555106163025,7,min,505
136,5313,confirmed,100,1.0,0.0102214881375877,0.0201742759327761,0.1637924015522003,3,max,705
140,5335,confirmed,100,1.0,0.0073799968952142,0.0175426276260266,0.1709160953760147,3,max,727
148,6217,confirmed,86,0.86,0.003030744251896,0.0090998580303919,0.1548803150653839,3,mean,73
150,11158,confirmed,87,0.87,0.002432686951026,0.0071271305456803,0.1021170616149902,5,mean,406
155,15941,confirmed,92,0.92,0.0024664799513395,0.0073654835628452,0.1675860285758972,7,mean,581
158,6871,confirmed,100,1.0,0.0115948224307972,0.020257926570327,0.1677689254283905,3,mean,727
161,17401,confirmed,84,0.84,0.0023418815422768,0.0071417943881265,0.1615761816501617,8,min,505
169,14784,confirmed,72,0.72,0.0015770135145231,0.0043302857218946,0.1337951719760894,7,min,192
171,15743,confirmed,94,0.94,0.0034226828851166,0.0084551420116619,0.1492928564548492,7,mean,383
179,3475,confirmed,92,0.92,0.0033317417954902,0.0089545643534873,0.154456079006195,2,min,403
186,16553,confirmed,78,0.78,0.0018645201207483,0.0056962671262038,0.1270378232002258,8,max,425
189,22655,confirmed,91,0.91,0.0029807876007586,0.0081199598685683,0.1681181341409683,10,mean,383
192,6103,confirmed,99,0.99,0.0095806551397207,0.0192280829105495,0.1584153324365615,3,min,727
200,6621,confirmed,99,0.99,0.0044485415472985,0.0092435575113227,0.1105978339910507,3,mean,477
206,20354,confirmed,99,0.99,0.0050658026164892,0.0129558787672717,0.1624016314744949,9,mean,386
212,13331,confirmed,67,0.67,0.0014273122362151,0.0056712896821891,0.1212836056947708,6,mean,275
216,12828,confirmed,78,0.78,0.001546937693628,0.0038830258867248,0.1255945563316345,6,min,540
222,6754,confirmed,84,0.84,0.0021382836411128,0.0077141829205305,0.1156172454357147,3,mean,610
230,13654,confirmed,98,0.98,0.005018530181795,0.0179779692439348,0.1528302580118179,6,mean,598
239,17681,confirmed,88,0.88,0.0027208621861197,0.0105847895730352,0.1215106397867202,8,mean,17
247,15423,confirmed,73,0.73,0.0017930054436718,0.0052449589136566,0.1131119728088378,7,mean,63
254,22315,confirmed,97,0.97,0.0031017959061169,0.0091246496119763,0.152885690331459,10,mean,43
261,17672,confirmed,82,0.82,0.0016895242722691,0.0051250422572712,0.1273772716522216,8,mean,8
262,6366,confirmed,68,0.68,0.0015001782153321,0.0050751198579725,0.1141795217990875,3,mean,222
271,22381,confirmed,92,0.92,0.0030614346725745,0.0093130131989845,0.160589337348938,10,mean,109
275,18396,confirmed,82,0.82,0.0023424998867001,0.0065852097081731,0.1648355424404144,8,mean,732
287,8613,confirmed,99,0.99,0.0056674441586547,0.0132839369842965,0.1278228610754013,4,mean,165
292,16039,confirmed,86,0.86,0.00246764946675,0.0078839016061817,0.1389749497175216,7,mean,679
294,27575,confirmed,76,0.76,0.0020020964433386,0.005572052053269,0.1205640211701393,12,mean,695
301,3975,confirmed,96,0.96,0.003747083582292,0.0099524554963629,0.147830918431282,2,mean,135
309,513,confirmed,72,0.72,0.0014555833394496,0.0038920334637734,0.1132252067327499,1,max,513
312,13438,confirmed,83,0.83,0.0022225091272802,0.0066494262859419,0.1465411186218261,6,mean,382
315,9185,confirmed,99,0.99,0.0071919165140217,0.0191432954933956,0.1449220031499862,4,mean,737
327,15476,confirmed,73,0.73,0.0016474743684321,0.0050263015936221,0.0993797406554222,7,mean,116
336,14275,confirmed,66,0.66,0.0015815799730022,0.005414808028865,0.1538947522640228,7,max,451
339,22590,confirmed,75,0.75,0.0015783870072185,0.0039176913294985,0.0920732840895652,10,mean,318
352,15724,confirmed,85,0.85,0.0020017633223465,0.0059055638636658,0.1263377517461776,7,mean,364
363,20315,confirmed,70,0.7,0.0016722649193148,0.0043392075708417,0.1295810490846634,9,mean,347
364,3961,confirmed,91,0.91,0.0023017340487357,0.0065190138610422,0.099690169095993,2,mean,121
368,18050,confirmed,100,1.0,0.0070062289561823,0.0154243864769813,0.1585763543844223,8,mean,386
385,18815,confirmed,74,0.74,0.0019614672225533,0.0054206764142906,0.1624571681022644,9,max,383
390,16271,confirmed,97,0.97,0.004584524544387,0.0111667590775838,0.1355417370796203,8,max,143
399,10855,confirmed,72,0.72,0.0016978719669583,0.0047639375167181,0.0985557585954666,5,mean,103
401,6701,confirmed,98,0.98,0.0065741163077493,0.014107696889943,0.1640588194131851,3,mean,557
409,6781,confirmed,74,0.74,0.0014752043924872,0.0036414587202213,0.1130217984318733,3,mean,637
410,4417,confirmed,74,0.74,0.0016842192346351,0.0052789973727258,0.0987528190016746,2,mean,577
419,13120,confirmed,97,0.97,0.0035235196292138,0.0082116015848063,0.1240730881690979,6,mean,64
438,17378,confirmed,87,0.87,0.0030503957617015,0.0085184139993164,0.1405035108327865,8,min,482
440,4243,confirmed,96,0.96,0.0044489452676327,0.0113504129076065,0.1300892233848571,2,mean,403
448,13480,confirmed,95,0.95,0.0031550176335208,0.0091724175195056,0.1061501130461692,6,mean,424
460,22604,confirmed,90,0.9,0.0025751219234739,0.0072028210178303,0.1027879044413566,10,mean,332
479,6353,confirmed,94,0.94,0.0035158532717449,0.0086402545402992,0.1165765151381492,3,mean,209
483,13439,confirmed,92,0.92,0.002850331219703,0.0072555418989724,0.1296279579401016,6,mean,383
490,4491,confirmed,94,0.94,0.003476843308925,0.0080675558839629,0.121303029358387,2,mean,651
494,23993,confirmed,82,0.82,0.0024201658867977,0.0082234121699316,0.1230984404683113,11,min,185
501,8488,confirmed,99,0.99,0.0051040272960574,0.0107201932849516,0.1057162433862686,4,mean,40
510,9877,confirmed,69,0.69,0.0016800516363689,0.006602533782056,0.1184746697545051,5,max,661
528,13251,confirmed,82,0.82,0.0018163334182626,0.0052348845847967,0.0588879957795143,6,mean,195
531,10408,confirmed,79,0.79,0.0019675605341656,0.0081609139843156,0.1066066771745681,5,min,424
534,12456,confirmed,95,0.95,0.0033811799821153,0.0109719703394446,0.1423605680465698,6,min,168
536,2881,confirmed,78,0.78,0.0016461530771807,0.0044915904992831,0.1338357031345367,2,max,577
545,1460,confirmed,93,0.93,0.0028103306209825,0.006298105399613,0.1148147732019424,1,min,692
554,4265,confirmed,69,0.69,0.0014471633818934,0.0040878359688217,0.0610078312456607,2,mean,425
562,6530,confirmed,79,0.79,0.0016889138111367,0.0039122159838284,0.1200611889362335,3,mean,386
577,5449,confirmed,75,0.75,0.0016907178325596,0.0058983594749491,0.1428721100091934,3,min,73
592,6625,confirmed,93,0.93,0.0036757291245007,0.0107552870281437,0.1232947930693626,3,mean,481
594,12966,confirmed,72,0.72,0.0015471554931162,0.0049061059426097,0.1106393635272979,6,min,678
597,19812,confirmed,67,0.67,0.0012721292806523,0.0036004220372297,0.1066756173968315,9,min,612
607,22674,confirmed,69,0.69,0.0015264884854088,0.0047536062629966,0.0890626087784767,10,mean,402
610,9925,confirmed,67,0.67,0.001527970386377,0.0047172681951992,0.1098131760954856,5,max,709
627,22327,confirmed,87,0.87,0.0025278537657911,0.0065164245509214,0.1005122289061546,10,mean,55
635,20258,confirmed,85,0.85,0.0021955837129883,0.0067947253266585,0.1075369417667388,9,mean,290
655,24953,confirmed,62,0.62,0.0012388852535452,0.0035782118060551,0.112038530409336,11,mean,377
661,22754,confirmed,100,1.0,0.0121254732994033,0.0221416256465311,0.1320368349552154,10,mean,482
666,20023,confirmed,100,1.0,0.005301509012598,0.0118215672339243,0.1055119857192039,9,mean,55
683,5259,confirmed,98,0.98,0.0055320472985842,0.0121604021570143,0.1602142453193664,3,max,651
686,4192,confirmed,96,0.96,0.003907684709333,0.0114835297482608,0.0740047544240951,2,mean,352
700,10725,confirmed,96,0.96,0.0041586684414867,0.0091038082923649,0.1272585242986679,5,min,741
704,16860,confirmed,76,0.76,0.0020527286308354,0.0062202122896611,0.1284379363059997,8,max,732
712,15510,confirmed,76,0.76,0.0018073582867192,0.0063542716910474,0.118479199707508,7,mean,150
713,17940,confirmed,100,1.0,0.0094889489315001,0.0192565283768321,0.1282716691493988,8,mean,276
718,21124,confirmed,70,0.7,0.0014581129564558,0.0039471703929025,0.0758337378501892,10,max,388
722,3207,confirmed,98,0.98,0.0074570023030863,0.0143832629562907,0.1334090679883957,2,min,135
729,12758,confirmed,96,0.96,0.0033641400762314,0.0072996860150254,0.1268091201782226,6,min,470
735,2856,confirmed,83,0.83,0.0022828197345169,0.006873561138944,0.1208187788724899,2,max,552
743,8772,confirmed,92,0.92,0.002403014594405,0.0073420084077724,0.0880179926753044,4,mean,324
744,2707,confirmed,100,1.0,0.0060221261592045,0.0146684728963505,0.1263396292924881,2,max,403
749,16752,confirmed,98,0.98,0.005033335763966,0.0116819081493974,0.1294994503259658,8,max,624
751,17952,confirmed,76,0.76,0.0016807925902957,0.0050133337350554,0.0890078693628311,8,mean,288
755,6667,confirmed,99,0.99,0.0045477926900142,0.0107105448217215,0.1049014329910278,3,mean,523
766,9784,confirmed,75,0.75,0.0016936906628149,0.00496122966751,0.1100247800350189,5,max,568
770,17966,confirmed,67,0.67,0.0015515204428248,0.004826779300368,0.1325615346431732,8,mean,302
773,6589,confirmed,75,0.75,0.0017992791344573,0.0058662775703643,0.0855515003204345,3,mean,445
774,21568,confirmed,100,1.0,0.0053455154552406,0.0117383512121611,0.1201989278197288,10,min,64
783,5648,confirmed,69,0.69,0.0014024599886058,0.0054714895979723,0.0927854254841804,3,min,272
784,9948,confirmed,80,0.8,0.0019264079172172,0.0067719723107198,0.1244594380259513,5,max,732
788,22960,confirmed,70,0.7,0.0014333998198684,0.0049467131178366,0.0855688750743866,10,mean,688
811,17807,confirmed,95,0.95,0.004153302600214,0.0096592543815969,0.1302080452442169,8,mean,143
814,1815,confirmed,80,0.8,0.0017911189878659,0.0042270849402414,0.0681094452738761,1,mean,279
816,18186,confirmed,80,0.8,0.0018494264577735,0.005274778065038,0.1012502014636993,8,mean,522
819,9005,confirmed,83,0.83,0.0025651812767059,0.0095505178670905,0.144041821360588,4,mean,557
820,5053,confirmed,94,0.94,0.0029750316569788,0.0072190774844032,0.1078869998455047,3,max,445
824,13252,confirmed,80,0.8,0.002060015733544,0.0056012469845623,0.1188301816582679,6,mean,196
833,1900,confirmed,96,0.96,0.0038062238394136,0.010933833064033,0.1045799478888511,1,mean,364
837,15493,confirmed,100,1.0,0.006422601223771,0.0134424812762038,0.1069447249174118,7,mean,133
852,4281,confirmed,70,0.7,0.0012613644563223,0.0030930420408328,0.1172970235347747,2,mean,441
858,2439,confirmed,68,0.68,0.0015638686489308,0.006190490594938,0.1317851543426513,2,max,135
860,9491,confirmed,66,0.66,0.0016041634808245,0.0046116668032909,0.1230893433094024,5,max,275
863,20351,confirmed,87,0.87,0.0024651641463268,0.0066647324296147,0.131792351603508,9,mean,383
875,5796,confirmed,70,0.7,0.0015369385658416,0.0050525491813429,0.1247250586748123,3,min,420
878,6925,confirmed,100,1.0,0.0044319200315041,0.011568515110674,0.1281846910715103,4,max,13
885,13403,confirmed,66,0.66,0.0015464329645175,0.0049676226322222,0.1065258234739303,6,mean,347
892,7205,confirmed,75,0.75,0.0016060299523748,0.0049366694796792,0.0781944245100021,4,max,293
