layer_index,aggregation_component,count,percent
1,max,11,2.86
1,mean,51,13.28
1,min,3,0.78
2,max,3,0.78
2,mean,46,11.98
2,min,8,2.08
3,max,9,2.34
3,mean,27,7.03
3,min,7,1.82
4,max,3,0.78
4,mean,15,3.91
4,min,4,1.04
5,max,2,0.52
5,mean,22,5.73
6,max,5,1.3
6,mean,14,3.65
6,min,3,0.78
7,max,6,1.56
7,mean,22,5.73
7,min,8,2.08
8,max,6,1.56
8,mean,17,4.43
8,min,5,1.3
9,max,2,0.52
9,mean,15,3.91
9,min,2,0.52
10,max,7,1.82
10,mean,18,4.69
10,min,7,1.82
11,max,2,0.52
11,mean,16,4.17
11,min,1,0.26
12,max,5,1.3
12,mean,8,2.08
12,min,4,1.04
