rank,feature_index,mutual_information,layer_index,aggregation_component,within_component_dim
1,1691,0.21435846,1,mean,155
2,8417,0.16901827,4,min,737
3,3723,0.15513869,2,min,651
4,11034,0.14803669,5,mean,282
5,20235,0.109945044,9,mean,267
6,1622,0.13075489,1,mean,86
7,8607,0.12649547,4,mean,159
8,18317,0.15217365,8,mean,653
9,4548,0.151479,2,mean,708
10,6027,0.21229304,3,min,651
11,25549,0.111707404,12,max,205
12,5927,0.18181476,3,min,551
13,1710,0.13279039,1,mean,174
14,11990,0.15587103,6,max,470
15,25426,0.17294449,12,max,82
16,6346,0.12547162,3,mean,202
17,4039,0.11001954,2,mean,199
18,8867,0.12848172,4,mean,419
19,18193,0.15944731,8,mean,529
20,14978,0.1675424,7,min,386
21,6546,0.10584776,3,mean,402
22,4004,0.114481084,2,mean,164
23,8461,0.19228767,4,mean,13
24,18728,0.14856063,9,max,296
25,4124,0.15053979,2,mean,284
26,13526,0.16823147,6,mean,470
27,26987,0.1150018,12,mean,107
28,2053,0.12549506,1,mean,517
29,2265,0.14830308,1,mean,729
30,5089,0.17647064,3,max,481
31,21708,0.14449754,10,min,204
32,6250,0.13180223,3,mean,106
33,11155,0.16542715,5,mean,403
34,11574,0.13974693,6,max,54
35,2102,0.122434735,1,mean,566
36,15691,0.13424136,7,mean,331
37,2805,0.16725998,2,max,501
38,21445,0.18254441,10,max,709
39,22570,0.12607816,10,mean,298
40,4025,0.10770989,2,mean,185
41,2196,0.091287024,1,mean,660
42,16445,0.16202559,8,max,317
43,6849,0.19989012,3,mean,705
44,6189,0.13646016,3,mean,45
45,1830,0.09505218,1,mean,294
46,11787,0.13864787,6,max,267
47,27119,0.15650444,12,mean,239
48,8746,0.15073296,4,mean,298
49,13737,0.119298205,6,mean,681
50,22877,0.12611343,10,mean,605
51,9503,0.1383305,5,max,287
52,21986,0.17804314,10,min,482
53,1875,0.09417839,1,mean,339
54,18023,0.11383755,8,mean,359
55,15271,0.19040966,7,min,679
56,13238,0.09693365,6,mean,182
57,22678,0.10724079,10,mean,406
58,290,0.16381502,1,max,290
