shot,trial,classification_AUROC,classification_AP,classification_F1,threshold,precision,recall,subset_names
4,0,0.8594036697247707,0.9484492249352041,0.8771929824556414,0.20564085245132446,0.8403361344537815,0.9174311926605505,2026_03_19-08_24_15-842.png|2026_03_19-08_28_55-003.png|2026_03_20-00_07_16-429.png|2026_03_20-00_13_58-838.png
4,1,0.8520642201834863,0.9441304321956593,0.8833333333328375,0.17492537200450897,0.8091603053435115,0.9724770642201835,2026_03_19-09_01_47-068.png|2026_03_19-11_39_57-236.png|2026_03_20-00_06_50-407.png|2026_03_20-00_14_35-533.png
4,2,0.8621559633027523,0.9511316648631494,0.8703703703698703,0.2612694203853607,0.8785046728971962,0.8623853211009175,2026_03_19-11_41_17-238.png|2026_03_20-00_06_50-407.png|2026_03_20-00_10_35-707.png|2026_03_20-00_44_10-045.png
8,0,0.8779816513761467,0.9520774566897965,0.8962655601654796,0.13879233598709106,0.8181818181818182,0.9908256880733946,2026_03_19-08_24_02-549.png|2026_03_19-08_24_49-086.png|2026_03_19-08_26_10-588.png|2026_03_19-08_27_39-131.png|2026_03_19-09_03_36-446.png|2026_03_19-11_35_41-799.png|2026_03_19-11_36_35-195.png|2026_03_19-11_38_36-031.png
8,1,0.8768348623853212,0.954553680088112,0.885106382978226,0.15265247225761414,0.8253968253968254,0.9541284403669725,2026_03_19-08_24_02-549.png|2026_03_19-08_25_02-904.png|2026_03_19-11_35_20-678.png|2026_03_19-11_41_23-866.png|2026_03_20-00_07_03-508.png|2026_03_20-00_12_17-349.png|2026_03_20-00_12_44-065.png|2026_03_20-00_14_43-099.png
8,2,0.8332568807339449,0.9258958873357348,0.8869565217386318,0.16231001913547516,0.8429752066115702,0.9357798165137615,2026_03_19-11_34_52-788.png|2026_03_19-11_35_13-012.png|2026_03_19-11_37_49-007.png|2026_03_20-00_08_54-323.png|2026_03_20-00_13_04-765.png|2026_03_20-00_44_10-045.png|2026_03_20-00_44_50-574.png|2026_03_20-01_08_51-493.png
16,0,0.8775229357798165,0.9530915181308119,0.8995633187767936,0.13503246009349823,0.8583333333333333,0.944954128440367,2026_03_19-08_25_16-697.png|2026_03_19-08_26_58-398.png|2026_03_19-08_29_15-897.png|2026_03_19-09_01_47-068.png|2026_03_19-11_34_39-718.png|2026_03_19-11_39_23-373.png|2026_03_20-00_06_09-035.png|2026_03_20-00_06_29-103.png|2026_03_20-00_10_08-963.png|2026_03_20-00_12_03-437.png|2026_03_20-00_13_58-838.png|2026_03_20-00_14_20-504.png|2026_03_20-00_40_00-079.png|2026_03_20-00_41_46-415.png|2026_03_20-00_42_53-618.png|2026_03_20-00_44_50-574.png
16,1,0.8912844036697248,0.9584318837670728,0.8899521531095487,0.1740940511226654,0.93,0.8532110091743119,2026_03_19-08_25_29-884.png|2026_03_19-08_26_10-588.png|2026_03_19-08_28_21-442.png|2026_03_19-09_00_12-752.png|2026_03_19-09_04_02-834.png|2026_03_19-09_08_03-930.png|2026_03_19-11_34_33-203.png|2026_03_19-11_34_59-458.png|2026_03_19-11_41_37-239.png|2026_03_20-00_07_58-419.png|2026_03_20-00_11_16-964.png|2026_03_20-00_11_50-314.png|2026_03_20-00_12_17-349.png|2026_03_20-00_14_35-533.png|2026_03_20-00_38_43-349.png|2026_03_20-00_44_17-714.png
16,2,0.8841743119266056,0.9557215956071022,0.9035087719293255,0.13861432671546936,0.865546218487395,0.944954128440367,2026_03_19-08_25_57-286.png|2026_03_19-09_03_36-446.png|2026_03_19-11_34_39-718.png|2026_03_19-11_35_41-799.png|2026_03_19-11_38_22-449.png|2026_03_19-11_39_09-591.png|2026_03_19-11_40_23-751.png|2026_03_19-11_42_20-596.png|2026_03_20-00_07_58-419.png|2026_03_20-00_08_41-093.png|2026_03_20-00_08_54-323.png|2026_03_20-00_12_23-685.png|2026_03_20-00_37_42-366.png|2026_03_20-00_41_06-247.png|2026_03_20-01_08_51-493.png|2026_03_20-01_08_57-976.png
32,0,0.8878440366972478,0.9583681233160931,0.8928571428566431,0.13040189445018768,0.8695652173913043,0.9174311926605505,2026_03_19-08_24_09-178.png|2026_03_19-08_24_35-638.png|2026_03_19-08_25_29-884.png|2026_03_19-08_25_50-659.png|2026_03_19-08_26_10-588.png|2026_03_19-08_27_39-131.png|2026_03_19-08_28_00-244.png|2026_03_19-08_59_46-474.png|2026_03_19-09_00_26-473.png|2026_03_19-09_00_46-162.png|2026_03_19-09_01_05-628.png|2026_03_19-09_01_47-068.png|2026_03_19-09_07_16-718.png|2026_03_19-11_35_41-799.png|2026_03_19-11_35_54-780.png|2026_03_19-11_37_29-349.png|2026_03_19-11_40_57-461.png|2026_03_19-11_41_37-239.png|2026_03_19-11_42_41-197.png|2026_03_20-00_05_43-009.png|2026_03_20-00_06_57-010.png|2026_03_20-00_11_23-369.png|2026_03_20-00_11_50-314.png|2026_03_20-00_12_23-685.png|2026_03_20-00_13_38-595.png|2026_03_20-00_14_20-504.png|2026_03_20-00_39_53-573.png|2026_03_20-00_40_00-079.png|2026_03_20-00_41_33-313.png|2026_03_20-01_08_57-976.png|2026_03_20-01_09_10-838.png|2026_03_20-01_09_18-643.png
32,1,0.8951834862385322,0.9605965400464203,0.9029535864973934,0.10879891365766525,0.8359375,0.981651376146789,2026_03_19-08_24_09-178.png|2026_03_19-08_25_02-904.png|2026_03_19-08_25_57-286.png|2026_03_19-08_26_30-471.png|2026_03_19-08_26_58-398.png|2026_03_19-08_27_32-383.png|2026_03_19-08_27_39-131.png|2026_03_19-09_00_39-680.png|2026_03_19-09_01_25-668.png|2026_03_19-11_34_13-755.png|2026_03_19-11_34_52-788.png|2026_03_19-11_39_23-373.png|2026_03_19-11_39_36-932.png|2026_03_20-00_06_09-035.png|2026_03_20-00_08_33-850.png|2026_03_20-00_08_41-093.png|2026_03_20-00_08_47-737.png|2026_03_20-00_08_54-323.png|2026_03_20-00_10_08-963.png|2026_03_20-00_11_23-369.png|2026_03_20-00_12_03-437.png|2026_03_20-00_12_44-065.png|2026_03_20-00_13_11-500.png|2026_03_20-00_14_27-555.png|2026_03_20-00_14_43-099.png|2026_03_20-00_39_47-078.png|2026_03_20-00_41_06-247.png|2026_03_20-00_41_33-313.png|2026_03_20-00_41_46-415.png|2026_03_20-00_44_17-714.png|2026_03_20-00_46_01-014.png|2026_03_20-01_09_18-643.png
32,2,0.8885321100917432,0.9572921730783737,0.8983050847452656,0.1220259889960289,0.8346456692913385,0.9724770642201835,2026_03_19-08_24_15-842.png|2026_03_19-08_25_50-659.png|2026_03_19-08_26_17-379.png|2026_03_19-08_26_58-398.png|2026_03_19-08_27_32-383.png|2026_03_19-08_27_39-131.png|2026_03_19-08_28_55-003.png|2026_03_19-08_59_20-476.png|2026_03_19-09_00_39-680.png|2026_03_19-09_08_03-930.png|2026_03_19-11_34_39-718.png|2026_03_19-11_34_46-247.png|2026_03_19-11_34_52-788.png|2026_03_19-11_36_35-195.png|2026_03_19-11_37_49-007.png|2026_03_20-00_05_55-997.png|2026_03_20-00_06_50-407.png|2026_03_20-00_07_03-508.png|2026_03_20-00_07_58-419.png|2026_03_20-00_08_33-850.png|2026_03_20-00_08_41-093.png|2026_03_20-00_08_47-737.png|2026_03_20-00_14_20-504.png|2026_03_20-00_14_27-555.png|2026_03_20-00_14_35-533.png|2026_03_20-00_14_43-099.png|2026_03_20-00_39_31-818.png|2026_03_20-00_40_32-948.png|2026_03_20-00_41_46-415.png|2026_03_20-00_43_56-504.png|2026_03_20-00_44_17-714.png|2026_03_20-01_08_51-493.png
